งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
30 พ.ย. 2567,0.5547,0.5602,0.6057
29 พ.ย. 2567,0.5547,0.5602,0.6057
28 พ.ย. 2567,0.5573,0.5642,0.6072
27 พ.ย. 2567,0.5589,0.5636,0.6092
26 พ.ย. 2567,0.5585,0.5644,0.6086
25 พ.ย. 2567,0.5554,0.5614,0.604
22 พ.ย. 2567,0.559,0.5657,0.6069
21 พ.ย. 2567,0.5579,0.5635,0.6071
20 พ.ย. 2567,0.5569,0.5618,0.6067
19 พ.ย. 2567,0.5595,0.564,0.6105
18 พ.ย. 2567,0.5629,0.5706,0.6108
15 พ.ย. 2567,0.5631,0.5677,0.6137
14 พ.ย. 2567,0.5646,0.5699,0.6154
13 พ.ย. 2567,0.5613,0.5691,0.6103
12 พ.ย. 2567,0.56,0.5651,0.6109
11 พ.ย. 2567,0.5555,0.5601,0.6091
8 พ.ย. 2567,0.5531,0.5588,0.6039
7 พ.ย. 2567,0.5548,0.5588,0.6068
6 พ.ย. 2567,0.5494,0.5539,0.5995
5 พ.ย. 2567,0.5469,0.5532,0.5967
4 พ.ย. 2567,0.5504,0.558,0.5973
1 พ.ย. 2567,0.55,0.5583,0.597
